News,Category
டெங்கு காய்ச்சலைத் தடுக்க.. சாப்பிட வேண்டிய மற்றும் தவிர்க்க வேண்டிய உணவுகள் என்னென்ன?,health
வெள்ளை ஏசியை விட இந்த கருப்பு AC-க்கு பவர் ஜாஸ்தி.. ஆனா கரண்ட் பில் கம்மி.. எந்த Haier மாடல்? என்ன விலை?,ad
Aadhaar அட்டையில் உங்களது புகைப்படம் பிடிக்கலையா? கவலை வேண்டாம்.. சுலபமாக புகைப்படத்தை மாற்றலாம்.. இதோ வழிமுறை,country
IRCTC நேரடி அறிவிப்பு.. புது முன்பதிவு டிக்கெட் ரூல்ஸ்.. மீறினால் ரூ.10000 அபராதம் 3 வருட சிறை.. உண்மையா?,country
இதுக்கு மேல முடியாது.. மாதம் ரூ.241 போதும்.. 180 நாட்கள் வேலிடிட்டி.. 300 ஜிபி டேட்டா.. அன்லிமிடெட் வாய்ஸ்!,tech
குறிவைத்து தாக்கப்பட்ட BSNL.. மோசமான ஆபத்தில் சிக்கிய பயனர்கள்.. உங்ககிட்ட BSNL சிம் இருக்கா? என்ன ஆபத்து?,tech
ஆர்டர் பொளக்கும்.. பட்ஜெட்ல 65 இன்ச் QLED டிவி.. 4K டிஸ்பிளே.. டால்பி ஆடியோ.. வாய்ஸ் கன்ட்ரோல்.. எந்த மாடல்?,ad
101 ரூபாய் கொடுங்க.. 100GB டேட்டாவை புடிங்க.. 7000 நகரங்களில் உள்ள Jio கஸ்டமர்களுக்கு அடிச்ச லக்!,ad
மிரண்டு போன மார்க்கெட்.. 50MP கேமரா.. 30W சார்ஜிங்.. அறிமுகமானது புதிய Moto 5ஜி போன்.. எந்த மாடல்?,tech
31 கிமீ மைலேஜ் தரும் காருக்கே இப்படி ஒரு நிலைமையா!,ad
2 குடும்பம் கூட ஒரே கார்ல போக முடியும்... விலை இவ்ளோதானா!,ad
34 கிமீ மைலேஜ் வழங்க கூடிய காரின் விலை இவ்ளோதானா!,ad
7 பேர் ஜம்முனு போக கூடிய காரோட விலை இவ்ளோதானா...,ad
டொயோட்டா பார்ச்சூனர் கதைய முடிக்க வரும் புத்தம் புது நிஸான் கார்...,ad
35 கிமீ மைலேஜை வாரி வழங்கும் காரின் விலை இவ்ளோதானா!,ad
கொல மாஸ்... தமிழ்நாடு நிறுவனம் எல்பிஜி பைக்கை தயாரிக்குது...,ad
சிறிய தவறால் நடந்த பயங்கர சாலை விபத்து! வைரல் வீடியோ!,politics
சென்னை மக்களுக்கு குட் நியூஸ் - சென்னையில் கூடிய விரைவில் ‘பறக்கும் டாக்ஸி’ சர்வீஸ்!,country
வந்தே மெட்ரோ சோதனை ஓட்டம் – சென்னையில் விரைவில் வந்தே மெட்ரோ ரயில்!,country
"ரஜினி, குஷ்பூ, சச்சின் போன்ற பிரபலங்களுக்காக ரசிகர்கள் கட்டிய கோயில்கள் – இன்னும் யாருக்கெல்லாம் கோயில் இருக்க",cinema
2200 ஆண்டுகள் பழமையான கல்லறைகளை கண்டுபிடித்த தொல்பொருள் ஆராய்ச்சியாளர்கள்!,misc
"வந்தே பாரத் ரயிலில் இப்படி செய்யாதீர்கள் – செஞ்சா மாட்டிக்குவீங்க, அதிக அளவில் அபராதம் வேற கட்டணும்!",misc
இந்தியாவின் இந்த பிரபல கோயில்களில் ஆண்களுக்கு கட்டாயம் அனுமதி இல்லை – பெண்கள் மட்டுமே செல்லக்கூடிய கோயில்கள்!,spiritual
கோயம்புத்தூருன்னா ஊட்டி மட்டும் இல்லங்க – இந்த அழகான மலைவாசஸ்தலங்களும் தான்!,country
பிரபாஸ் திரைப்படத்திற்காக செங்கல்பட்டில் பிரத்யேகமாக தயாரிக்கப்பட்டுள்ள 'புஜ்ஜி கார்' - சென்னையில் உலா வருகிறத,cinema
தாம்பரத்திலிருந்து மங்களூரு ஜங்க்ஷனுக்கு சிறப்பு ரயில் – டிக்கெட் கட்டணம் எவ்வளவு?,country
பிராணிகள் நலன் தொடர்பான முதுகலை டிப்ளமோ படிப்பு பயில வேண்டுமா...!,education
அரசு பாலிடெக்னிக் கல்லூரிகளில் டிப்ளமோ சேர விருப்பமா...!,education
"பிஎஸ்சி நர்சிங், பி.பார்ம் படிக்கப் போறீங்களா....உடனே அப்ளை பண்ணுங்க....!",education
தமிழக அரசில் வேலை பார்க்க விருப்பமா..அப்படின்னா உடனே அப்ளை பண்ணுங்க...!,education
